number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,,2024-02-11 18:51:15.148518,2024-02-11 18:51:52.807446,0 days 00:00:37.658928,0.32184309484293294,0.23597819532942357,FAIL
1,,2024-02-11 18:53:45.448043,2024-02-11 18:53:45.468043,0 days 00:00:00.020000,0.38650727903768467,0.80606691192294,FAIL
2,,2024-02-11 18:54:14.995874,2024-02-11 18:54:20.953577,0 days 00:00:05.957703,0.8413284553715651,0.47896029049669786,FAIL
3,,2024-02-11 18:54:30.089185,2024-02-11 18:54:34.663216,0 days 00:00:04.574031,0.2874460435828545,0.9813177094879407,FAIL
4,,2024-02-11 18:54:57.490146,2024-02-11 18:54:57.509824,0 days 00:00:00.019678,0.31769145772019225,0.6121775630229391,FAIL
5,,2024-02-11 18:55:10.457275,2024-02-11 18:55:10.479222,0 days 00:00:00.021947,0.48156797678967,0.5208911902123743,FAIL
6,,2024-02-11 18:55:54.265384,2024-02-11 18:55:57.138170,0 days 00:00:02.872786,0.2890943424072695,0.8439414602160555,FAIL
7,,2024-02-11 18:57:12.679742,2024-02-11 18:59:14.980422,0 days 00:02:02.300680,0.8193465023259097,0.8584711036809871,FAIL
8,,2024-02-11 18:59:26.274964,2024-02-11 19:02:36.199762,0 days 00:03:09.924798,0.8791078192637016,0.30147166879911524,FAIL
9,,2024-02-11 19:02:36.255772,2024-02-11 19:02:44.748161,0 days 00:00:08.492389,0.8975272217963176,0.14331339105903745,FAIL
10,0.5753837209302325,2024-02-11 19:03:58.566091,2024-02-11 19:09:59.756004,0 days 00:06:01.189913,0.2359834135191329,0.15131328279414494,COMPLETE
11,0.6228062015503877,2024-02-11 19:09:59.824505,2024-02-11 19:13:34.026797,0 days 00:03:34.202292,0.2761893995395318,0.28680099015021576,COMPLETE
12,0.8632054263565891,2024-02-11 19:13:34.047794,2024-02-11 19:16:33.044830,0 days 00:02:58.997036,0.969303312307357,0.47065252548172,COMPLETE
13,0.05939358703312192,2024-02-11 19:16:33.065327,2024-02-11 19:19:23.126618,0 days 00:02:50.061291,0.8637237741181455,0.3569595193556373,COMPLETE
14,0.8007047216349541,2024-02-11 19:19:23.149118,2024-02-11 19:22:14.723011,0 days 00:02:51.573893,0.12745582088519783,0.9517564601969895,COMPLETE
15,0.6185954897815362,2024-02-11 19:22:14.741518,2024-02-11 19:25:03.214086,0 days 00:02:48.472568,0.4202144295802608,0.14919789683234874,COMPLETE
16,0.2596737138830162,2024-02-11 19:25:03.237096,2024-02-11 19:27:47.216718,0 days 00:02:43.979622,0.30125196640545004,0.34797698516016307,COMPLETE
17,0.043619097956307244,2024-02-11 19:27:47.233717,2024-02-11 19:30:34.071326,0 days 00:02:46.837609,0.7925302590548042,0.18668136637846688,COMPLETE
18,0.7726987315010571,2024-02-11 19:30:34.093538,2024-02-11 19:33:21.005464,0 days 00:02:46.911926,0.9427855077632723,0.9718348402899515,COMPLETE
19,0.4756592670894997,2024-02-11 19:33:21.019466,2024-02-11 19:36:15.998461,0 days 00:02:54.978995,0.11810359677241128,0.46010427680525967,COMPLETE
20,0.5066279069767442,2024-02-11 19:36:16.010465,2024-02-11 19:39:14.049175,0 days 00:02:58.038710,0.684518727497445,0.6677857304151736,COMPLETE
21,0.8788745595489782,2024-02-11 19:39:14.068173,2024-02-11 19:42:07.519916,0 days 00:02:53.451743,0.5520217905858322,0.609109233610274,COMPLETE
22,0.1964612403100775,2024-02-11 19:42:07.535415,2024-02-11 19:44:58.863166,0 days 00:02:51.327751,0.9997616771285102,0.6421386863348086,COMPLETE
23,0.0534538407329105,2024-02-11 19:44:58.878664,2024-02-11 19:47:50.891761,0 days 00:02:52.013097,0.5342233654465356,0.5627440652428329,COMPLETE
24,0.5821959126145173,2024-02-11 19:47:50.905759,2024-02-11 19:50:45.191216,0 days 00:02:54.285457,0.6309622953205873,0.7416976522824189,COMPLETE
25,0.18492494714587737,2024-02-11 19:50:45.207220,2024-02-11 19:53:38.326997,0 days 00:02:53.119777,0.7782573642089696,0.5063865085977006,COMPLETE
26,0.6379806201550388,2024-02-11 19:53:38.340389,2024-02-11 19:56:28.415954,0 days 00:02:50.075565,0.5408073041538277,0.4493052490280696,COMPLETE
27,0.9594115574348133,2024-02-11 19:56:28.428453,2024-02-11 19:59:17.854421,0 days 00:02:49.425968,0.9044238192094297,0.7540518559337828,COMPLETE
28,0.6410285412262157,2024-02-11 19:59:17.872929,2024-02-11 20:02:22.118659,0 days 00:03:04.245730,0.6669458047742808,0.7924302876018896,COMPLETE
29,0.2799714587737843,2024-02-11 20:02:22.135671,2024-02-11 20:06:58.060528,0 days 00:04:35.924857,0.43950942940166354,0.7875768488194187,COMPLETE
30,0.38138231148696256,2024-02-11 20:06:58.080528,2024-02-11 20:10:07.103250,0 days 00:03:09.022722,0.8318449971014394,0.8762939614244779,COMPLETE
31,,2024-02-11 20:10:07.122756,2024-02-11 20:10:13.113084,0 days 00:00:05.990328,0.9288969458770863,0.5752000659813432,FAIL
32,0.3565380549682875,2024-02-11 20:19:01.865456,2024-02-11 20:22:11.993650,0 days 00:03:10.128194,,,COMPLETE
33,0.9831617336152221,2024-02-11 20:22:12.045168,2024-02-11 20:25:06.218954,0 days 00:02:54.173786,,,COMPLETE
34,0.10860359408033826,2024-02-11 20:25:06.237456,2024-02-11 20:27:55.303969,0 days 00:02:49.066513,,,COMPLETE
35,0.7779510218463708,2024-02-11 20:27:55.322469,2024-02-11 20:30:43.875022,0 days 00:02:48.552553,,,COMPLETE
36,0.6923551797040169,2024-02-11 20:30:43.886521,2024-02-11 20:33:33.369026,0 days 00:02:49.482505,,,COMPLETE
